Timestamp,Return,Actual Value
2019-09-24 00:00:00+00:00,0.00548163,1
2019-09-24 01:00:00+00:00,-0.002053388,0
2019-09-24 02:00:00+00:00,-0.000658436,0
2019-09-24 03:00:00+00:00,-0.000442678,0
2019-09-24 04:00:00+00:00,0.001266827,1
2019-09-24 05:00:00+00:00,0.003579658,1
2019-09-24 06:00:00+00:00,-0.001783445,0
2019-09-24 07:00:00+00:00,0.000729028,1
2019-09-24 08:00:00+00:00,-0.003026852,0
2019-09-24 09:00:00+00:00,0.001389375,1
2019-09-24 10:00:00+00:00,-0.000678308,0
2019-09-24 11:00:00+00:00,-0.001100427,0
2019-09-24 12:00:00+00:00,-0.004200642,0
2019-09-24 13:00:00+00:00,-0.005707196,0
2019-09-24 14:00:00+00:00,-0.011251144,0
2019-09-24 15:00:00+00:00,-0.000904444,0
2019-09-24 16:00:00+00:00,-0.002684211,0
2019-09-24 17:00:00+00:00,-0.000538287,0
2019-09-24 18:00:00+00:00,-0.088749023,0
2019-09-24 19:00:00+00:00,-0.024603083,0
2019-09-24 20:00:00+00:00,0.020863284,1
2019-09-24 21:00:00+00:00,0.00682006,1
2019-09-24 22:00:00+00:00,0.004623796,1
2019-09-24 23:00:00+00:00,-0.017926797,0
2019-09-25 00:00:00+00:00,0.019519396,1
2019-09-25 01:00:00+00:00,0.000792949,1
2019-09-25 02:00:00+00:00,-0.012803436,0
2019-09-25 03:00:00+00:00,-0.00095381,0
2019-09-25 04:00:00+00:00,-0.008021982,0
2019-09-25 05:00:00+00:00,-0.001701878,0
2019-09-25 06:00:00+00:00,-0.004491212,0
2019-09-25 07:00:00+00:00,-0.0151406,0
2019-09-25 08:00:00+00:00,-0.009365519,0
2019-09-25 09:00:00+00:00,0.016983416,1
2019-09-25 10:00:00+00:00,0.002094914,1
2019-09-25 11:00:00+00:00,-0.009526185,0
2019-09-25 12:00:00+00:00,-0.003957451,0
2019-09-25 13:00:00+00:00,0.009932938,1
2019-09-25 14:00:00+00:00,-0.001096779,0
2019-09-25 15:00:00+00:00,-0.010084736,0
2019-09-25 16:00:00+00:00,0.003532461,1
