date,close
2/3/2015,102.46
2/4/2015,101.36
2/5/2015,102.46
2/6/2015,101.1
2/9/2015,99.78
2/10/2015,100.35
2/11/2015,100.38
2/12/2015,98.44
2/13/2015,99.62
2/17/2015,100.44
2/18/2015,99.96
2/19/2015,100.7
2/20/2015,100.26
2/23/2015,100.18
2/24/2015,100.7
2/25/2015,101.21
2/26/2015,102.8
2/27/2015,102.51
3/2/2015,103.22
3/3/2015,102.34
3/4/2015,101.65
3/5/2015,102.52
3/6/2015,100.11
3/9/2015,100.66
3/10/2015,99.53
3/11/2015,98.32
3/12/2015,99.83
3/13/2015,99.21
3/16/2015,101.06
3/17/2015,99.89
3/18/2015,101.46
3/19/2015,101.69
3/20/2015,102.4
3/23/2015,102.98
3/24/2015,101.96
3/25/2015,100.34
3/26/2015,100.14
3/27/2015,100.34
3/30/2015,101.55
3/31/2015,100.6
4/1/2015,99.15
4/2/2015,99.64
4/6/2015,99.16
4/7/2015,100.1
4/8/2015,100.16
4/9/2015,101.33
4/10/2015,102.06
4/13/2015,100.55
4/14/2015,100.52
4/15/2015,100.6
4/16/2015,99.79
4/17/2015,99.58
4/20/2015,100.21
4/21/2015,100.3
4/22/2015,100.43
4/23/2015,100.46
4/24/2015,101.08
4/27/2015,100.58
4/28/2015,100.74
4/29/2015,100.39
4/30/2015,99.2
5/1/2015,100.13
5/4/2015,100.35
5/5/2015,99.5
5/6/2015,99.17
5/7/2015,99.66
5/8/2015,101.47
5/11/2015,101.03
5/12/2015,100.47
5/13/2015,100.55
5/14/2015,101.83
5/15/2015,102.3
5/18/2015,103.42
5/19/2015,103.96
5/20/2015,103.6
5/21/2015,102.42
5/22/2015,101.35
5/26/2015,100.82
5/27/2015,101.13
5/28/2015,101.15
5/29/2015,100.14
6/1/2015,100.04
6/2/2015,99.98
6/3/2015,100.09
6/4/2015,99.23
6/5/2015,98.59
6/8/2015,97.96
6/9/2015,98.21
6/10/2015,98.88
6/11/2015,99.24
6/12/2015,98.35
6/15/2015,97.49
6/16/2015,98.36
6/17/2015,98.73
6/18/2015,100.36
6/19/2015,99.86
6/22/2015,100.09
6/23/2015,99.78
6/24/2015,99.33
6/25/2015,99.12
6/26/2015,99.64
6/29/2015,97.68
6/30/2015,97.46
7/1/2015,98.47
7/2/2015,98.44
7/6/2015,98.2
7/7/2015,98.92
7/8/2015,97.77
7/9/2015,98.4
7/10/2015,99.53
7/13/2015,100.27
7/14/2015,99.78
7/15/2015,100.42
7/16/2015,101.11
7/17/2015,100.08
7/20/2015,100.37
7/21/2015,100.34
7/22/2015,100.18
7/23/2015,100.2
7/24/2015,99.15
7/27/2015,98.28
7/28/2015,99.02
7/29/2015,99.73
7/30/2015,99.84
7/31/2015,100.21
8/3/2015,100.02
8/4/2015,99.8
8/5/2015,100.52
8/6/2015,99.07
8/7/2015,98.85
8/10/2015,99.79
8/11/2015,99.01
8/12/2015,98.71
8/13/2015,98.48
8/14/2015,98.81
8/17/2015,99.87
8/18/2015,99.37
8/19/2015,99.31
8/20/2015,98.79
8/21/2015,95.56
8/24/2015,92.82
8/25/2015,90.73
8/26/2015,95.11
8/27/2015,96.22
8/28/2015,95.17
8/31/2015,93.98
9/1/2015,92.09
9/2/2015,93.35
9/3/2015,92.64
9/4/2015,91.31
9/8/2015,93.94
9/9/2015,92.22
9/10/2015,92.72
9/11/2015,92.93
9/14/2015,93.32
9/15/2015,94.4
9/16/2015,94.61
9/17/2015,94.84
9/18/2015,93.39
9/21/2015,93.13
9/22/2015,93.24
9/23/2015,92.99
9/24/2015,92.48
9/25/2015,91
9/28/2015,91.37
9/29/2015,93.04
9/30/2015,93.35
10/1/2015,93.17
10/2/2015,93.93
10/5/2015,94.76
10/6/2015,93.42
10/7/2015,94.98
10/8/2015,95.08
10/9/2015,95.37
10/12/2015,95.99
10/13/2015,95.45
10/14/2015,94.53
10/15/2015,97.15
10/16/2015,98.24
10/19/2015,97.94
10/20/2015,97.59
10/21/2015,97.63
10/22/2015,99.53
10/23/2015,100.31
10/26/2015,99.94
10/27/2015,100.19
10/28/2015,100.48
10/29/2015,101.37
10/30/2015,101.03
11/2/2015,102.17
11/3/2015,101.96
11/4/2015,101.94
11/5/2015,102.33
11/6/2015,101.92
11/9/2015,100.84
11/10/2015,101.45
11/11/2015,101.86
11/12/2015,100.27
11/13/2015,99.88
11/16/2015,101.22
11/17/2015,101.5
11/18/2015,102.67
11/19/2015,102.49
11/20/2015,102.48
11/23/2015,102.77
11/24/2015,102.04
11/25/2015,101.96
11/27/2015,102.37
11/30/2015,101.24
12/1/2015,102.36
12/2/2015,102.05
12/3/2015,100.79
12/4/2015,102.95
12/7/2015,103.32
12/8/2015,102.42
12/9/2015,102.15
12/10/2015,102.64
12/11/2015,101.68
12/14/2015,102.15
12/15/2015,104.13
12/16/2015,105.25
12/17/2015,103.64
12/18/2015,101.95
12/21/2015,101.58
12/22/2015,102.71
12/23/2015,103.49
12/24/2015,103.72
12/28/2015,103.22
12/29/2015,104.03
12/30/2015,103.78
12/31/2015,102.72
1/4/2016,100.48
1/5/2016,100.9
1/6/2016,100.39
1/7/2016,99.22
1/8/2016,98.16
1/11/2016,97.57
1/12/2016,98.24
1/13/2016,97.02
1/14/2016,98.89
1/15/2016,97
1/19/2016,97.5
1/20/2016,95.75
1/21/2016,95.94
1/22/2016,96.75
1/25/2016,96.4
1/26/2016,101.18
1/27/2016,102.16
1/28/2016,102.27
1/29/2016,104.44
2/1/2016,104.37
2/2/2016,103.41
2/3/2016,104.14
2/4/2016,103.9
2/5/2016,100.54
2/8/2016,102
2/9/2016,101.97
2/10/2016,101.73
2/11/2016,101.7
2/12/2016,101.82
2/16/2016,102.32
2/17/2016,102.5
2/18/2016,104.24
2/19/2016,104.16
2/22/2016,104.75
2/23/2016,104.08
2/24/2016,104.96
2/25/2016,106.38
2/26/2016,105.78
2/29/2016,105.21
3/1/2016,107.22
3/2/2016,107.04
3/3/2016,106.65
3/4/2016,106.5
3/7/2016,106.74
3/8/2016,106.22
3/9/2016,106.84
3/10/2016,107.14
3/11/2016,107.71
3/14/2016,107.66
3/15/2016,107.76
3/16/2016,107.41
3/17/2016,106.74
3/18/2016,107.5
3/21/2016,107.28
3/22/2016,107.38
3/23/2016,108.5
3/24/2016,108.31
3/28/2016,108.23
3/29/2016,109.14
3/30/2016,108.98
3/31/2016,108.2
4/1/2016,109.19
4/4/2016,108.59
4/5/2016,108.95
4/6/2016,109.42
4/7/2016,109.27
4/8/2016,109.1
4/11/2016,108.97
4/12/2016,109.6
4/13/2016,109.87
4/14/2016,109.84
4/15/2016,110.18
4/18/2016,110.93
4/19/2016,112.68
4/20/2016,113.58
4/21/2016,113.57
4/22/2016,113.32
4/25/2016,113.51
4/26/2016,112.91
4/27/2016,112.77
4/28/2016,112.48
4/29/2016,112.08
5/2/2016,112.75
5/3/2016,112.69
5/4/2016,112.22
5/5/2016,112.88
5/6/2016,112.74
5/9/2016,113.72
5/10/2016,114.67
5/11/2016,114.37
5/12/2016,114.23
5/13/2016,113.56
5/16/2016,114.44
5/17/2016,113.83
5/18/2016,113.59
5/19/2016,112.85
5/20/2016,112.64
5/23/2016,112.16
5/24/2016,112.69
5/25/2016,113.35
5/26/2016,112.9
5/27/2016,113.06
5/31/2016,112.69
6/1/2016,112.78
6/2/2016,114.49
6/3/2016,114.76
6/6/2016,115.77
6/7/2016,115.73
6/8/2016,115.8
6/9/2016,117
6/10/2016,117.01
6/13/2016,116.79
6/14/2016,117.12
6/15/2016,116.41
6/16/2016,116.64
6/17/2016,115.48
6/20/2016,116.54
6/21/2016,116.18
6/22/2016,116.46
6/23/2016,117.38
6/24/2016,115.63
6/27/2016,116.55
6/28/2016,118.23
6/29/2016,119.33
6/30/2016,121.3
7/1/2016,121.29
7/5/2016,122.27
7/6/2016,122.64
7/7/2016,122.51
7/8/2016,122.85
7/11/2016,122.93
7/12/2016,122.92
7/13/2016,123
7/14/2016,123.18
7/15/2016,123
7/18/2016,123.14
7/19/2016,125.25
7/20/2016,125.14
7/21/2016,125.15
7/22/2016,125.03
7/25/2016,124.89
7/26/2016,125.15
7/27/2016,124.77
7/28/2016,124.46
7/29/2016,125.23
8/1/2016,125.4
8/2/2016,124.85
8/3/2016,123.9
8/4/2016,123.86
8/5/2016,124.24
8/8/2016,123.65
8/9/2016,123.43
8/10/2016,123.36
8/11/2016,123.77
8/12/2016,123.22
8/15/2016,122.31
8/16/2016,120.33
8/17/2016,121.31
8/18/2016,120.72
8/19/2016,119.92
8/22/2016,119.13
8/23/2016,119.44
8/24/2016,118.71
8/25/2016,118.57
8/26/2016,119.04
8/29/2016,119.92
8/30/2016,119.47
8/31/2016,119.34
9/1/2016,119.08
9/2/2016,119.32
9/6/2016,119.75
9/7/2016,119.61
9/8/2016,119.47
9/9/2016,118.23
9/12/2016,119.16
9/13/2016,117.61
9/14/2016,117.86
9/15/2016,118.63
9/16/2016,118.25
9/19/2016,117.66
9/20/2016,117.95
9/21/2016,118.91
9/22/2016,119.46
9/23/2016,118.81
9/26/2016,117.78
9/27/2016,119.22
9/28/2016,119.39
9/29/2016,117.27
9/30/2016,118.13
10/3/2016,118.81
10/4/2016,118.82
10/5/2016,119.18
10/6/2016,118.75
10/7/2016,119.24
10/10/2016,119.8
10/11/2016,117.64
10/12/2016,117.97
10/13/2016,118.26
10/14/2016,117.56
10/17/2016,118.49
10/18/2016,115.41
10/19/2016,114.59
10/20/2016,114.87
10/21/2016,113.44
10/24/2016,113.61
10/25/2016,113.96
10/26/2016,114.56
10/27/2016,115.7
10/28/2016,115.33
10/31/2016,115.99
11/1/2016,115.34
11/2/2016,114.86
11/3/2016,115.03
11/4/2016,115.11
11/7/2016,116.66
11/8/2016,117.05
11/9/2016,120.31
11/10/2016,119.54
11/11/2016,118.47
11/14/2016,116.6
11/15/2016,116.32
11/16/2016,116.36
11/17/2016,116.57
11/18/2016,115.36
11/21/2016,115
11/22/2016,112.74
11/23/2016,113.07
11/25/2016,114.13
11/28/2016,113.13
11/29/2016,112.48
11/30/2016,111.3
12/1/2016,111.38
12/2/2016,111.96
12/5/2016,111.94
12/6/2016,112.06
12/7/2016,111.1
12/8/2016,110.99
12/9/2016,112.26
12/12/2016,115.36
12/13/2016,115.89
12/14/2016,114.99
12/15/2016,115.89
12/16/2016,115.88
12/19/2016,116.02
12/20/2016,115.66
12/21/2016,115.31
12/22/2016,115.44
12/23/2016,115.96
12/27/2016,115.91
12/28/2016,115.1
12/29/2016,115.49
12/30/2016,115.21
1/3/2017,115.84
1/4/2017,115.65
1/5/2017,116.86
1/6/2017,116.3
1/9/2017,116.28
1/10/2017,116.16
1/11/2017,114.73
1/12/2017,114.62
1/13/2017,114.6
1/17/2017,114.87
1/18/2017,114.7
1/19/2017,114.2
1/20/2017,114.15
1/23/2017,113.91
1/24/2017,111.76
1/25/2017,112.8
1/26/2017,111.84
1/27/2017,113.38
1/30/2017,113.13
1/31/2017,113.25
2/1/2017,113.23
2/2/2017,113.57
2/3/2017,113.64
2/6/2017,113.4
2/7/2017,113.48
2/8/2017,113.4
2/9/2017,114.08
2/10/2017,115.24
2/13/2017,115.88
2/14/2017,116.36
2/15/2017,117.2
2/16/2017,118.08
2/17/2017,118.86
2/21/2017,119.66
2/22/2017,119.52
2/23/2017,121.7
2/24/2017,122.73
2/27/2017,122.4
2/28/2017,122.21
3/1/2017,123.86
3/2/2017,123.63
3/3/2017,123.79
3/6/2017,123.71
3/7/2017,123.83
3/8/2017,124.1
3/9/2017,125.95
3/10/2017,126.21
3/13/2017,126.68
3/14/2017,127.05
3/15/2017,128.96
3/16/2017,128.46
3/17/2017,128.06
3/20/2017,128.07
3/21/2017,127.25
3/22/2017,126.26
3/23/2017,125.9
3/24/2017,125.48
